FIPS,COUNTYFP,County,2011,2012,2013,2014,2015,2016
06001,001,Alameda,0.012,0.013,0.017,0.018,0.015,0.012
06003,003,Alpine,LNE,LNE,LNE,LNE,LNE,LNE
06005,005,Amador,LNE,LNE,0.077,0.095,LNE,LNE
06007,007,Butte,0.052,0.041,0.057,0.070,0.060,0.053
06009,009,Calaveras,0.062,0.064,0.106,0.108,0.083,0.105
06011,011,Colusa,LNE,LNE,LNE,LNE,LNE,LNE
06013,013,Contra Costa,0.021,0.018,0.022,0.023,0.019,0.020
06015,015,Del Norte,0.073,0.086,0.110,0.081,0.076,0.087
06017,017,El Dorado,0.076,0.066,0.082,0.092,0.076,0.072
06019,019,Fresno,0.012,0.013,0.015,0.016,0.010,0.010
06021,021,Glenn,LNE,LNE,LNE,LNE,LNE,LNE
06023,023,Humboldt,0.105,0.103,0.115,0.119,0.108,0.104
06025,025,Imperial,LNE,LNE,LNE,LNE,LNE,LNE
06027,027,Inyo,LNE,LNE,LNE,LNE,LNE,LNE
06029,029,Kern,0.016,0.018,0.017,0.027,0.018,0.015
06031,031,Kings,0.013,0.019,LNE,0.009,0.008,0.009
06033,033,Lake,0.029,0.039,0.058,0.049,0.049,0.025
06035,035,Lassen,LNE,0.073,0.073,0.056,0.078,0.095
06037,037,Los Angeles,0.016,0.017,0.019,0.022,0.016,0.015
06039,039,Madera,0.012,0.017,0.023,0.022,0.020,0.014
06041,041,Marin,0.072,0.068,0.078,0.076,0.064,0.059
06043,043,Mariposa,LNE,LNE,LNE,LNE,0.143,0.134
06045,045,Mendocino,0.073,0.085,0.087,0.093,0.063,0.071
06047,047,Merced,0.006,0.007,0.009,0.011,0.010,0.008
06049,049,Modoc,LNE,LNE,LNE,LNE,LNE,LNE
06051,051,Mono,LNE,LNE,LNE,LNE,LNE,LNE
06053,053,Monterey,0.012,0.010,0.015,0.017,0.016,0.014
06055,055,Napa,0.024,0.028,0.039,0.037,0.032,0.033
06057,057,Nevada,0.177,0.203,0.224,0.213,0.215,0.184
06059,059,Orange,0.027,0.029,0.030,0.037,0.030,0.030
06061,061,Placer,0.043,0.066,0.081,0.077,0.080,0.060
06063,063,Plumas,LNE,LNE,LNE,LNE,LNE,LNE
06065,065,Riverside,0.018,0.018,0.023,0.029,0.025,0.021
06067,067,Sacramento,0.032,0.031,0.043,0.054,0.045,0.041
06069,069,San Benito,LNE,LNE,LNE,LNE,LNE,LNE
06071,071,San Bernardino,0.018,0.019,0.025,0.029,0.022,0.019
06073,073,San Diego,0.031,0.033,0.039,0.045,0.035,0.036
06075,075,San Francisco,0.013,0.014,0.014,0.016,0.018,0.015
06077,077,San Joaquin,0.011,0.011,0.010,0.015,0.011,0.013
06079,079,San Luis Obispo,0.053,0.045,0.057,0.083,0.055,0.055
06081,081,San Mateo,0.021,0.023,0.021,0.023,0.019,0.016
06083,083,Santa Barbara,0.032,0.029,0.043,0.047,0.029,0.036
06085,085,Santa Clara,0.018,0.018,0.017,0.017,0.016,0.017
06087,087,Santa Cruz,0.098,0.090,0.096,0.095,0.093,0.088
06089,089,Shasta,0.064,0.081,0.083,0.086,0.075,0.084
06091,091,Sierra,LNE,LNE,LNE,LNE,LNE,LNE
06093,093,Siskiyou,0.122,0.086,0.122,0.152,0.061,0.078
06095,095,Solano,0.014,0.012,0.016,0.015,0.018,0.015
06097,097,Sonoma,0.061,0.051,0.063,0.060,0.055,0.048
06099,099,Stanislaus,0.033,0.033,0.041,0.041,0.033,0.023
06101,101,Sutter,0.069,0.064,0.085,0.073,0.058,0.079
06103,103,Tehama,0.039,0.036,0.049,0.042,0.042,0.028
06105,105,Trinity,0.163,LNE,LNE,0.188,LNE,0.144
06107,107,Tulare,0.010,0.010,0.013,0.016,0.010,0.009
06109,109,Tuolumne,0.101,0.122,0.123,0.154,0.074,0.083
06111,111,Ventura,0.031,0.030,0.035,0.035,0.031,0.025
06113,113,Yolo,0.029,0.028,0.036,0.037,0.032,0.035
06115,115,Yuba,0.025,0.023,0.026,0.026,0.022,0.019
